datetime,open,high,low,close,volume,symbol
2025-05-16 13:30:00+03:00,294.75,295.0,289.75,290.25,3631703,THYAO
2025-05-16 14:30:00+03:00,290.0,292.0,289.75,290.25,3250924,THYAO
2025-05-16 15:30:00+03:00,290.25,290.75,288.75,290.0,3811689,THYAO
2025-05-16 16:30:00+03:00,290.0,293.75,289.75,293.25,6536969,THYAO
2025-05-16 17:30:00+03:00,293.25,293.75,291.75,292.75,3681714,THYAO
2025-05-20 09:30:00+03:00,293.75,293.75,289.25,289.5,0,THYAO
2025-05-20 10:30:00+03:00,289.5,290.0,288.25,289.25,3988347,THYAO
2025-05-20 11:30:00+03:00,289.0,289.5,288.5,289.25,1497725,THYAO
2025-05-20 12:30:00+03:00,289.25,291.25,289.0,290.5,1980979,THYAO
2025-05-20 13:30:00+03:00,290.25,291.0,289.5,290.5,2034086,THYAO
2025-05-20 14:30:00+03:00,290.5,290.5,289.5,290.0,1517835,THYAO
2025-05-20 15:30:00+03:00,290.25,290.75,288.75,290.0,3254950,THYAO
2025-05-20 16:30:00+03:00,289.75,290.25,286.25,287.0,4648481,THYAO
2025-05-20 17:30:00+03:00,287.0,287.75,286.0,286.75,3213844,THYAO
2025-05-21 09:30:00+03:00,286.75,287.0,282.5,282.75,0,THYAO
2025-05-21 10:30:00+03:00,282.75,284.5,282.5,283.25,3445381,THYAO
2025-05-21 11:30:00+03:00,283.25,284.0,281.75,281.75,2140735,THYAO
2025-05-21 12:30:00+03:00,282.0,282.75,281.5,281.75,1574255,THYAO
2025-05-21 13:30:00+03:00,281.75,282.0,280.5,281.5,3514393,THYAO
2025-05-21 14:30:00+03:00,281.5,283.5,281.25,282.0,3075335,THYAO
2025-05-21 15:30:00+03:00,282.0,282.5,281.0,282.0,3065296,THYAO
2025-05-21 16:30:00+03:00,282.0,284.5,281.5,282.75,9834976,THYAO
2025-05-21 17:30:00+03:00,282.75,282.75,280.0,280.5,6388366,THYAO
2025-05-22 09:30:00+03:00,283.5,284.0,278.25,279.25,0,THYAO
2025-05-22 10:30:00+03:00,279.25,282.0,279.0,281.0,7045559,THYAO
2025-05-22 11:30:00+03:00,281.0,282.0,280.5,280.75,2658544,THYAO
2025-05-22 12:30:00+03:00,280.75,281.25,279.5,280.25,2013359,THYAO
2025-05-22 13:30:00+03:00,280.25,280.5,278.75,279.75,2233142,THYAO
2025-05-22 14:30:00+03:00,279.75,284.5,279.5,283.5,8630164,THYAO
2025-05-22 15:30:00+03:00,283.25,287.5,283.25,285.75,10984062,THYAO
2025-05-22 16:30:00+03:00,285.75,287.0,284.25,284.5,4200591,THYAO
2025-05-22 17:30:00+03:00,284.75,285.0,283.5,284.0,2235369,THYAO
2025-05-23 09:30:00+03:00,283.5,285.5,282.5,282.75,0,THYAO
2025-05-23 10:30:00+03:00,282.5,285.25,282.5,284.5,3824041,THYAO
2025-05-23 11:30:00+03:00,284.5,285.75,284.0,284.25,2638774,THYAO
2025-05-23 12:30:00+03:00,284.25,286.25,283.75,285.25,3279894,THYAO
2025-05-23 13:30:00+03:00,285.25,285.75,283.75,284.0,2629012,THYAO
2025-05-23 14:30:00+03:00,284.0,284.75,280.75,281.75,5340783,THYAO
2025-05-23 15:30:00+03:00,281.75,283.0,280.75,282.25,3306825,THYAO
2025-05-23 16:30:00+03:00,282.25,283.5,280.75,281.0,3937017,THYAO
2025-05-23 17:30:00+03:00,281.0,281.25,279.75,279.75,3732286,THYAO
2025-05-26 09:30:00+03:00,282.5,282.75,280.5,280.5,0,THYAO
2025-05-26 10:30:00+03:00,280.75,282.5,280.5,281.5,3863215,THYAO
2025-05-26 11:30:00+03:00,281.25,281.5,279.75,280.25,2808759,THYAO
2025-05-26 12:30:00+03:00,280.5,282.0,280.0,281.75,2220045,THYAO
2025-05-26 13:30:00+03:00,281.5,281.75,280.5,280.75,2070202,THYAO
2025-05-26 14:30:00+03:00,280.75,281.25,279.5,279.75,2622884,THYAO
2025-05-26 15:30:00+03:00,279.75,281.0,279.5,280.5,2096068,THYAO
2025-05-26 16:30:00+03:00,280.75,281.75,280.0,280.5,2983251,THYAO
